INDV,O(HOM),E(HOM),N_SITES,F,POP
NS.1780.003.UDP0245_i7---UDP0245_i5.ME5.realigned.bam,5172498,5904691.2,8133620,-0.3285,MarE
NS.1780.003.UDP0246_i7---UDP0246_i5.ME6.realigned.bam,4999592,6017385,8285255,-0.44879,MarE
NS.1780.003.UDP0247_i7---UDP0247_i5.ME7.realigned.bam,5227888,5851296.2,8061999,-0.282,MarE
NS.1780.003.UDP0248_i7---UDP0248_i5.ME8.realigned.bam,5173732,5917698.6,8151113,-0.33311,MarE
NS.1780.003.UDP0249_i7---UDP0249_i5.ME9.realigned.bam,5233239,5755959.8,7933324,-0.24007,MarE
NS.1780.003.UDP0250_i7---UDP0250_i5.ME10.realigned.bam,5207552,5732241.7,7901564,-0.24187,MarE
NS.1780.003.UDP0251_i7---UDP0251_i5.ME11.realigned.bam,5202510,5833798.6,8038712,-0.28631,MarE
NS.1780.003.UDP0252_i7---UDP0252_i5.ME12.realigned.bam,5222669,5604570.7,7729840,-0.1797,MarE
NS.1780.003.UDP0253_i7---UDP0253_i5.ME13.realigned.bam,5189727,5853120.6,8064013,-0.30006,MarE
NS.1780.003.UDP0254_i7---UDP0254_i5.ME14.realigned.bam,5219572,5592934.4,7714092,-0.17602,MarE
NS.1780.003.UDP0255_i7---UDP0255_i5.ME15.realigned.bam,5215320,5619937.7,7749910,-0.18996,MarE
NS.1780.003.UDP0256_i7---UDP0256_i5.ME16.realigned.bam,5206214,5763023.3,7942782,-0.25545,MarE
NS.1780.003.UDP0257_i7---UDP0257_i5.ME17.realigned.bam,5244566,5724618.6,7891483,-0.22154,MarE
NS.1780.003.UDP0258_i7---UDP0258_i5.ME18.realigned.bam,5124182,5941387.2,8182774,-0.3646,MarE
NS.1780.003.UDP0259_i7---UDP0259_i5.ME19.realigned.bam,5227250,5758483.9,7937372,-0.24381,MarE
NS.1780.003.UDP0260_i7---UDP0260_i5.ME20.realigned.bam,5196678,5553858.7,7660609,-0.16954,MarE
NS.1780.003.UDP0261_i7---UDP0261_i5.ME21.realigned.bam,5215743,5712409.6,7874556,-0.22971,MarE
NS.1780.003.UDP0262_i7---UDP0262_i5.ME22.realigned.bam,5221813,5707254.1,7866975,-0.22477,MarE
